time,Unix time,CHTR:CM02:1255:HV:POWER,CLL:CM02:2301:DS:LVL,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2601:US:LVL,CHTR:CM02:1855:HV:POWER
2019-03-03 14:12:32,1551640352.56,2.13125,96.4002,17.3984,74.5026,9.95721
2019-03-03 14:12:33,1551640353.56,2.13125,96.4002,17.3984,74.3247,9.95721
2019-03-03 14:12:35,1551640355.56,2.13125,96.5588,17.3984,74.1832,9.95721
2019-03-03 14:12:36,1551640356.56,2.13125,96.3646,17.3984,74.3113,9.95721
2019-03-03 14:12:40,1551640360.56,2.13125,96.7279,17.3984,74.1505,9.95721
2019-03-03 14:12:41,1551640361.56,2.13125,96.3654,17.3984,74.3598,9.95721
2019-03-03 14:12:42,1551640362.56,2.13125,96.5237,17.3984,74.1989,9.95721
2019-03-03 14:12:43,1551640363.56,2.13125,96.3907,17.3984,74.3073,9.95721
2019-03-03 14:12:45,1551640365.56,2.13125,96.5142,17.3984,74.0772,9.95721
2019-03-03 14:12:46,1551640366.56,2.13125,96.3573,17.3984,74.4124,9.95721
2019-03-03 14:12:47,1551640367.56,2.13125,96.3573,17.3984,74.1514,9.95721
2019-03-03 14:12:49,1551640369.56,2.13125,96.3573,17.3984,74.4046,9.95721
2019-03-03 14:12:50,1551640370.57,2.13125,96.4668,17.3984,74.184,9.95721
2019-03-03 14:12:51,1551640371.56,2.13125,96.3466,17.3984,74.3533,9.95721
2019-03-03 14:12:54,1551640374.56,2.13125,96.3466,17.3984,74.0528,9.95721
2019-03-03 14:12:55,1551640375.56,2.13125,96.3466,17.3984,74.3186,9.95721
2019-03-03 14:12:58,1551640378.57,2.13125,96.3466,17.3984,74.4661,9.95721
2019-03-03 14:12:59,1551640379.56,2.13125,96.3466,17.3984,74.3157,9.95721
2019-03-03 14:13:00,1551640380.56,2.13125,96.4562,17.3984,74.3157,9.95721
2019-03-03 14:13:01,1551640381.56,2.13125,96.4562,17.3984,74.424,9.95721
2019-03-03 14:13:02,1551640382.56,2.13125,96.3547,17.3984,74.294,9.95721
2019-03-03 14:13:04,1551640384.56,2.13125,96.3547,17.3984,74.0788,9.95721
2019-03-03 14:13:05,1551640385.56,2.13125,96.3547,17.3984,74.2407,9.95721
2019-03-03 14:13:08,1551640388.56,2.13125,96.3547,17.3984,74.5124,9.95721
2019-03-03 14:13:09,1551640389.56,2.13125,96.3547,17.3984,74.2201,9.95721
2019-03-03 14:13:13,1551640393.56,2.13125,96.3547,17.3984,74.4665,9.95721
2019-03-03 14:13:14,1551640394.56,2.13125,96.3547,17.3984,74.1359,9.95721
2019-03-03 14:13:15,1551640395.56,2.13125,96.4843,17.3984,74.294,9.95721
2019-03-03 14:13:16,1551640396.56,2.13125,96.3384,17.3984,74.0521,9.95721
2019-03-03 14:13:17,1551640397.56,2.13125,96.3384,17.3984,74.2813,9.95721
2019-03-03 14:13:22,1551640402.56,2.13125,96.4451,17.3984,74.2813,9.95721
2019-03-03 14:13:23,1551640403.56,2.13125,96.4451,17.3984,74.0895,9.95721
2019-03-03 14:13:24,1551640404.56,2.13125,96.7145,17.3984,74.298,9.95721
2019-03-03 14:13:25,1551640405.56,2.13125,96.3473,17.3984,74.1421,9.95721
2019-03-03 14:13:27,1551640407.56,2.13125,96.7837,17.3984,74.1421,9.95721
2019-03-03 14:13:28,1551640408.56,2.13125,96.3373,17.3984,74.3054,9.95721
2019-03-03 14:13:29,1551640409.56,2.13125,96.5193,17.3984,74.0765,9.95721
2019-03-03 14:13:30,1551640410.56,2.13125,96.358,17.3984,74.274,9.95721
2019-03-03 14:13:31,1551640411.56,2.13125,96.358,17.3984,74.4108,9.95721
2019-03-03 14:13:32,1551640412.56,2.13125,96.5918,17.3984,74.3082,9.95721
2019-03-03 14:13:33,1551640413.56,2.13125,96.3474,17.3984,74.3082,9.95721
2019-03-03 14:13:34,1551640414.56,2.13125,96.5315,17.3984,74.3082,9.95721
