time,Unix time,CPV:CM03:3001:JT:POS_RBV,CFICM0312,CHTR:CM03:1155:HV:POWER
2019-02-23 08:04:25,1550927065.49,46.6328,4.5625,14.9379
2019-02-23 08:04:26,1550927066.49,46.6328,3.84375,14.9379
2019-02-23 08:04:27,1550927067.50,46.6328,4.15625,14.9379
2019-02-23 08:04:28,1550927068.50,46.6328,4.71875,14.9379
2019-02-23 08:04:29,1550927069.50,46.6328,4.03125,14.9379
2019-02-23 08:04:30,1550927070.50,46.6328,3.89062,14.9379
2019-02-23 08:04:31,1550927071.51,46.6328,4.65625,14.9379
2019-02-23 08:04:32,1550927072.51,46.6328,4.25,14.9379
2019-02-23 08:04:33,1550927073.51,46.6328,3.78125,14.9379
2019-02-23 08:04:34,1550927074.51,46.6328,4.46875,14.9379
2019-02-23 08:04:36,1550927076.52,46.6328,3.84375,14.9379
2019-02-23 08:04:37,1550927077.52,48.1133,4.4375,14.9379
2019-02-23 08:04:38,1550927078.53,48.1133,5.03125,14.9379
2019-02-23 08:04:39,1550927079.53,48.1133,4.34375,14.9379
2019-02-23 08:04:41,1550927081.54,48.1133,5.125,14.9379
2019-02-23 08:04:42,1550927082.54,48.1133,4.53125,14.9379
2019-02-23 08:04:43,1550927083.54,48.1133,4.15625,14.9379
2019-02-23 08:04:44,1550927084.54,48.1133,4.9375,14.9379
2019-02-23 08:04:45,1550927085.55,48.1133,4.75,14.9379
2019-02-23 08:04:46,1550927086.55,48.1133,4.125,14.9379
2019-02-23 08:04:47,1550927087.55,48.1133,4.6875,14.9379
2019-02-23 08:04:48,1550927088.55,48.1133,4.96875,14.9379
2019-02-23 08:04:49,1550927089.56,48.1133,4.25,14.9379
2019-02-23 08:04:50,1550927090.56,48.1133,4.46875,14.9379
2019-02-23 08:04:51,1550927091.56,48.1133,5.0625,14.9379
2019-02-23 08:04:52,1550927092.56,48.1133,4.40625,14.9379
2019-02-23 08:04:53,1550927093.57,48.1133,4.1875,14.9379
2019-02-23 08:04:54,1550927094.57,48.1133,5.0625,14.9379
2019-02-23 08:04:55,1550927095.57,48.1133,4.65625,14.9379
2019-02-23 08:04:56,1550927096.57,48.1133,3.875,14.9379
2019-02-23 08:04:57,1550927097.57,45.9609,4.40625,14.9379
2019-02-23 08:04:58,1550927098.57,46.6328,4.40625,14.9379
2019-02-23 08:04:59,1550927099.58,46.6328,3.75,14.9379
2019-02-23 08:05:00,1550927100.59,46.6328,4.1875,14.9379
2019-02-23 08:05:01,1550927101.59,46.6328,4.75,14.9379
2019-02-23 08:05:02,1550927102.59,46.6328,3.9375,14.9379
2019-02-23 08:05:04,1550927104.60,46.6328,4.75,14.9379
2019-02-23 08:05:05,1550927105.60,46.6328,4.28125,14.9379
2019-02-23 08:05:06,1550927106.60,46.6328,3.8125,14.9379
2019-02-23 08:05:07,1550927107.61,46.6328,4.5,14.9379
2019-02-23 08:05:09,1550927109.61,46.6328,3.76562,14.9379
2019-02-23 08:05:10,1550927110.61,46.6328,4.25,14.9379
2019-02-23 08:05:11,1550927111.62,46.6328,4.65625,14.9379
2019-02-23 08:05:12,1550927112.62,46.6328,3.9375,14.9379
2019-02-23 08:05:13,1550927113.62,46.6328,4.0625,14.9379
2019-02-23 08:05:14,1550927114.63,46.6328,4.6875,14.9379
2019-02-23 08:05:15,1550927115.63,46.6328,4.125,14.9379
2019-02-23 08:05:16,1550927116.63,46.6328,3.875,14.9379
2019-02-23 08:05:17,1550927117.64,46.6328,4.65625,14.9379
2019-02-23 08:05:18,1550927118.64,46.6328,4.40625,14.9379
2019-02-23 08:05:19,1550927119.64,46.6328,3.8125,14.9379
2019-02-23 08:05:20,1550927120.64,46.6328,4.40625,14.9379
